id;title__en;description__en;icon;tags;props__url;props__scheme;props__osi_approved
default;No commercial reproduction, distribution, display or performance rights in this work are provided.;;;recommended,all,software;;;n
caltech-non-commercial;You are granted permission for individual, educational, research and non-commercial reproduction, distribution, display and performance of this work in any format.;;;recommended,all,software;;;n
apache-2.0;Apache License 2.0;A permissive license whose main conditions require preservation of copyright and license notices. Contributors provide an express grant of patent rights. Licensed works, modifications, and larger works may be distributed under different terms and without source code.;;recommended,all,software;http://www.apache.org/licenses/LICENSE-2.0;spdx;y
bsd-3-clause;"BSD 3-Clause ""New"" or ""Revised"" License";;;all,software;https://opensource.org/licenses/BSD-3-Clause;spdx;y
cc-by-1.0;Creative Commons Attribution 1.0 Generic;;;all,data;https://creativecommons.org/licenses/by/1.0/legalcode;spdx;
cc-by-2.0;Creative Commons Attribution 2.0 Generic;;;all,data;https://creativecommons.org/licenses/by/2.0/legalcode;spdx;
cc-by-2.5;Creative Commons Attribution 2.5 Generic;;;all,data;https://creativecommons.org/licenses/by/2.5/legalcode;spdx;
cc-by-3.0;Creative Commons Attribution 3.0 Unported;;;all,data;https://creativecommons.org/licenses/by/3.0/legalcode;spdx;
cc-by-3.0-at;Creative Commons Attribution 3.0 Austria;;;all,data;https://creativecommons.org/licenses/by/3.0/at/legalcode;spdx;
cc-by-3.0-us;Creative Commons Attribution 3.0 United States;;;all,data;https://creativecommons.org/licenses/by/3.0/us/legalcode;spdx;
cc-by-4.0;Creative Commons Attribution 4.0 International;The Creative Commons Attribution license allows re-distribution and re-use of a licensed work on the condition that the creator is appropriately credited.;;recommended,all,data;https://creativecommons.org/licenses/by/4.0/legalcode;spdx;
cc-by-nc-1.0;Creative Commons Attribution Non Commercial 1.0 Generic;;;all,data;https://creativecommons.org/licenses/by-nc/1.0/legalcode;spdx;
cc-by-nc-2.0;Creative Commons Attribution Non Commercial 2.0 Generic;;;all,data;https://creativecommons.org/licenses/by-nc/2.0/legalcode;spdx;
cc-by-nc-2.5;Creative Commons Attribution Non Commercial 2.5 Generic;;;all,data;https://creativecommons.org/licenses/by-nc/2.5/legalcode;spdx;
cc-by-nc-3.0;Creative Commons Attribution Non Commercial 3.0 Unported;;;all,data;https://creativecommons.org/licenses/by-nc/3.0/legalcode;spdx;
cc-by-nc-4.0;Creative Commons Attribution Non Commercial 4.0 International;;;all,data;https://creativecommons.org/licenses/by-nc/4.0/legalcode;spdx;
cc-by-nc-nd-1.0;Creative Commons Attribution Non Commercial No Derivatives 1.0 Generic;;;all,data;https://creativecommons.org/licenses/by-nd-nc/1.0/legalcode;spdx;
cc-by-nc-nd-2.0;Creative Commons Attribution Non Commercial No Derivatives 2.0 Generic;;;all,data;https://creativecommons.org/licenses/by-nc-nd/2.0/legalcode;spdx;
cc-by-nc-nd-2.5;Creative Commons Attribution Non Commercial No Derivatives 2.5 Generic;;;all,data;https://creativecommons.org/licenses/by-nc-nd/2.5/legalcode;spdx;
cc-by-nc-nd-3.0;Creative Commons Attribution Non Commercial No Derivatives 3.0 Unported;;;all,data;https://creativecommons.org/licenses/by-nc-nd/3.0/legalcode;spdx;
cc-by-nc-nd-3.0-igo;Creative Commons Attribution Non Commercial No Derivatives 3.0 IGO;;;all,data;https://creativecommons.org/licenses/by-nc-nd/3.0/igo/legalcode;spdx;
cc-by-nc-nd-4.0;Creative Commons Attribution Non Commercial No Derivatives 4.0 International;;;all,data;https://creativecommons.org/licenses/by-nc-nd/4.0/legalcode;spdx;
cc-by-nc-sa-1.0;Creative Commons Attribution Non Commercial Share Alike 1.0 Generic;;;all,data;https://creativecommons.org/licenses/by-nc-sa/1.0/legalcode;spdx;
cc-by-nc-sa-2.0;Creative Commons Attribution Non Commercial Share Alike 2.0 Generic;;;all,data;https://creativecommons.org/licenses/by-nc-sa/2.0/legalcode;spdx;
cc-by-nc-sa-2.5;Creative Commons Attribution Non Commercial Share Alike 2.5 Generic;;;all,data;https://creativecommons.org/licenses/by-nc-sa/2.5/legalcode;spdx;
cc-by-nc-sa-3.0;Creative Commons Attribution Non Commercial Share Alike 3.0 Unported;;;all,data;https://creativecommons.org/licenses/by-nc-sa/3.0/legalcode;spdx;
cc-by-nc-sa-4.0;Creative Commons Attribution Non Commercial Share Alike 4.0 International;;;all,data;https://creativecommons.org/licenses/by-nc-sa/4.0/legalcode;spdx;
cc-by-nd-1.0;Creative Commons Attribution No Derivatives 1.0 Generic;;;all,data;https://creativecommons.org/licenses/by-nd/1.0/legalcode;spdx;
cc-by-nd-2.0;Creative Commons Attribution No Derivatives 2.0 Generic;;;all,data;https://creativecommons.org/licenses/by-nd/2.0/legalcode;spdx;
cc-by-nd-2.5;Creative Commons Attribution No Derivatives 2.5 Generic;;;all,data;https://creativecommons.org/licenses/by-nd/2.5/legalcode;spdx;
cc-by-nd-3.0;Creative Commons Attribution No Derivatives 3.0 Unported;;;all,data;https://creativecommons.org/licenses/by-nd/3.0/legalcode;spdx;
cc-by-nd-4.0;Creative Commons Attribution No Derivatives 4.0 International;;;all,data;https://creativecommons.org/licenses/by-nd/4.0/legalcode;spdx;
cc-by-sa-1.0;Creative Commons Attribution Share Alike 1.0 Generic;;;all,data;https://creativecommons.org/licenses/by-sa/1.0/legalcode;spdx;
cc-by-sa-2.0;Creative Commons Attribution Share Alike 2.0 Generic;;;all,data;https://creativecommons.org/licenses/by-sa/2.0/legalcode;spdx;
cc-by-sa-2.0-uk;Creative Commons Attribution Share Alike 2.0 England and Wales;;;all,data;https://creativecommons.org/licenses/by-sa/2.0/uk/legalcode;spdx;
cc-by-sa-2.5;Creative Commons Attribution Share Alike 2.5 Generic;;;all,data;https://creativecommons.org/licenses/by-sa/2.5/legalcode;spdx;
cc-by-sa-3.0;Creative Commons Attribution Share Alike 3.0 Unported;;;all,data;https://creativecommons.org/licenses/by-sa/3.0/legalcode;spdx;
cc-by-sa-3.0-at;Creative Commons Attribution-Share Alike 3.0 Austria;;;all,data;https://creativecommons.org/licenses/by-sa/3.0/at/legalcode;spdx;
cc-by-sa-4.0;Creative Commons Attribution Share Alike 4.0 International;Permits almost any use subject to providing credit and license notice. Frequently used for media assets and educational materials. The most common license for Open Access scientific publications. Not recommended for software.;;recommended,all,data;https://creativecommons.org/licenses/by-sa/4.0/legalcode;spdx;
cc-pddc;Creative Commons Public Domain Dedication and Certification;;;all;https://creativecommons.org/licenses/publicdomain/;spdx;
cc0-1.0;Creative Commons Zero v1.0 Universal;CC0 waives copyright interest in a work you've created and dedicates it to the world-wide public domain. Use CC0 to opt out of copyright entirely and ensure your work has the widest reach.;cc-cc0-icon;recommended,all,data,software;https://creativecommons.org/publicdomain/zero/1.0/legalcode;spdx;
cc-pdm;Creative Commons Public Domain Mark;This work has been identified as being free of known restrictions under copyright law, including all related and neighboring rights.;;all;https://creativecommons.org/publicdomain/mark/1.0/;;
gpl-3.0-or-later;GNU General Public License v3.0 or later;Permissions of this strong copyleft license are conditioned on making available complete source code of licensed works and modifications, which include larger works using a licensed work, under the same license. Copyright and license notices must be preserved. Contributors provide an express grant of patent rights.;;recommended,all,software;https://www.gnu.org/licenses/gpl-3.0-standalone.html;spdx;y
lgpl-3.0-or-later;GNU Lesser General Public License v3.0 or later;Permissions of this copyleft license are conditioned on making available complete source code of licensed works and modifications under the same license or the GNU GPLv3. Copyright and license notices must be preserved. Contributors provide an express grant of patent rights. However, a larger work using the licensed work through interfaces provided by the licensed work may be distributed under different terms and without source code for the larger work.;;all,software;https://www.gnu.org/licenses/lgpl-3.0-standalone.html;spdx;y
mit;MIT License;A short and simple permissive license with conditions only requiring preservation of copyright and license notices. Licensed works, modifications, and larger works may be distributed under different terms and without source code.;;recommended,all,software;https://opensource.org/licenses/MIT;spdx;y
